,Taxon,Branch Type,l1,l2,l1/l2
99,Ploceus nigricollis,terminal,0.024291,0.027093,0.896578452
100,  ,internal,0.004195,0.004624,0.907223183
101,Urocynchramus pylzowi,terminal,0.034312,0.037425,0.916820307
102,  ,internal,0.000721,0.00158,0.456329114
103,  ,internal,0.003226,0.003333,0.96789679
104,Peucedramus taeniatus,terminal,0.037817,0.040583,0.931843383
105,  ,internal,0.003592,0.003364,1.067776457
106,Irena cyanogastra,terminal,0.045679,0.047461,0.962453383
107,  ,internal,0.001282,0.000959,1.336809176
108,Chloropsis cyanopogon,terminal,0.013012,0.018044,0.721126136
109,Chloropsis hardwickii,terminal,0.017206,0.021894,0.785877409
110,  ,internal,0.025586,0.026269,0.973999772
111,  ,internal,0.002309,0.002365,0.976321353
112,Dicaeum eximium,terminal,0.035299,0.038933,0.90666016
113,Leptocoma aspasia,terminal,0.027621,0.031226,0.884551335
114,  ,internal,0.008181,0.010106,0.809519098
115,  ,internal,0.002366,0.002446,0.96729354
116,Promerops cafer,terminal,0.037842,0.040554,0.933126202
117,  ,internal,0.002893,0.003218,0.899005594
118,Oenanthe oenanthe,terminal,0.013953,0.016886,0.826305815
119,Saxicola maurus,terminal,0.012577,0.015441,0.814519785
120,  ,internal,0.007931,0.009643,0.822461889
121,Ficedula albicollis,terminal,0.02065,0.023939,0.862609132
122,  ,internal,0.002541,0.003499,0.726207488
123,Erithacus rubecula,terminal,0.030442,0.034051,0.894011923
124,  ,internal,0.006631,0.007766,0.853850116
125,Cercotrichas coryphaeus,terminal,0.016706,0.019525,0.855620999
126,Copsychus sechellarum,terminal,0.018213,0.020955,0.869148175
127,  ,internal,0.009078,0.013023,0.697074407
128,  ,internal,0.008947,0.011242,0.79585483
129,Catharus fuscescens,terminal,0.043358,0.0469,0.924477612
130,  ,internal,0.004027,0.003498,1.151229274
131,Cinclus mexicanus,terminal,0.050813,0.054006,0.94087694
132,  ,internal,0.000516,0.001578,0.326996198
133,Leucopsar rothschildi,terminal,0.009016,0.011475,0.785708061
134,Sturnus vulgaris,terminal,0.008487,0.010916,0.777482594
135,  ,internal,0.013176,0.018665,0.705920171
136,Rhabdornis inornatus,terminal,0.023719,0.026215,0.904787335
137,  ,internal,0.001784,0.001906,0.935991605
138,Toxostoma redivivum,terminal,0.029723,0.031963,0.929918969
139,  ,internal,0.001642,0.001272,1.290880503
140,Buphagus erythrorhynchus,terminal,0.023377,0.026398,0.885559512
141,  ,internal,0.009263,0.011519,0.804149666
142,  ,internal,0.009594,0.011389,0.842391782
143,Elachura formosa,terminal,0.077968,0.082375,0.946500759
144,  ,internal,0.002043,0.002154,0.948467967
145,Polioptila caerulea,terminal,0.032058,0.035972,0.89119315
146,Thryothorus ludovicianus,terminal,0.037118,0.041136,0.902323998
147,  ,internal,0.011587,0.013882,0.834678
148,Certhia brachydactyla,terminal,4.90E-05,0.0066,0.007424242
149,Certhia familiaris,terminal,3.10E-05,0.00663,0.004675716
150,  ,internal,0.043399,0.044441,0.976553183
151,  ,internal,0.003057,0.003521,0.868219256
152,Sitta europaea,terminal,0.054905,0.057289,0.958386427
153,  ,internal,0.001667,0.001236,1.348705502
154,Tichodroma muraria,terminal,0.042605,0.046295,0.920293768
155,  ,internal,0.005006,0.005533,0.904753298
156,  ,internal,0.000317,0.000463,0.684665227
157,Regulus satrapa,terminal,0.069698,0.07395,0.94250169
158,  ,internal,0.00012,0.000338,0.355029586
159,Bombycilla garrulus,terminal,0.03684,0.040564,0.908194458
160,Phainopepla nitens,terminal,0.029256,0.032989,0.886841068
161,  ,internal,0.013149,0.022373,0.587717338
162,  ,internal,0.000802,0.000568,1.411971831
163,  ,internal,0.00084,0.000681,1.233480176
164,Zosterops hypoxanthus,terminal,0.003074,0.005603,0.54863466
165,Zosterops lateralis,terminal,0.002828,0.005322,0.531379181
166,  ,internal,0.00739,0.010712,0.689880508
167,Sterrhoptilus dennistouni,terminal,0.01199,0.015757,0.760931649
168,  ,internal,0.017262,0.026587,0.649264678
169,Illadopsis cleaveri,terminal,0.027175,0.031677,0.857877956
170,Leiothrix lutea,terminal,0.030129,0.034303,0.87831968
171,  ,internal,0.002335,0.002735,0.853747715
172,Pomatorhinus ruficollis,terminal,0.028916,0.033648,0.85936757
173,  ,internal,0.002255,0.002028,1.111932939
174,  ,internal,0.00252,0.002386,1.056160939
175,Sylvia atricapilla,terminal,0.017204,0.019183,0.89683574
176,Sylvia borin,terminal,0.014675,0.016799,0.873563903
177,  ,internal,0.008637,0.025326,0.341032931
178,Sinosuthora webbiana,terminal,0.028056,0.032376,0.866567828
179,  ,internal,0.004857,0.005738,0.846462182
180,  ,internal,0.006087,0.006396,0.951688555
181,Brachypodius atriceps,terminal,0.02392,0.028383,0.842757989
182,Pycnonotus jocosus,terminal,0.023289,0.027712,0.840394053
183,  ,internal,0.017845,0.021299,0.837832762
184,  ,internal,0.002081,0.001901,1.094687007
185,Cettia cetti,terminal,0.024217,0.027608,0.877173283
186,Horornis vulcanius,terminal,0.022,0.025296,0.86970272
187,  ,internal,0.010985,0.01361,0.807127112
188,Erythrocercus mccallii,terminal,0.035281,0.038314,0.920838336
189,  ,internal,0.003296,0.003442,0.957582801
190,Aegithalos caudatus,terminal,0.042278,0.045813,0.922838496
191,  ,internal,0.001543,0.001461,1.056125941
192,Hylia prasina,terminal,0.038752,0.042109,0.920278325
193,  ,internal,0.002082,0.001491,1.39637827
194,Phylloscopus trochilus,terminal,0.019381,0.022726,0.852811757
195,Rhadina sibilatrix,terminal,0.018362,0.021827,0.841251661
196,  ,internal,0.014303,0.022886,0.624967229
197,  ,internal,0.003647,0.004011,0.909249564
198,  ,internal,0.000746,0.0007,1.065714286
199,Hirundo rustica,terminal,0.052375,0.055368,0.945943505
200,  ,internal,0.001073,0.000705,1.521985816
201,Oxylabes madagascariensis,terminal,0.032081,0.035384,0.906652724
202,Donacobius atricapilla,terminal,0.041306,0.044881,0.920344912
203,  ,internal,0.000975,0.001753,0.55618939
204,Locustella ochotensis,terminal,0.04061,0.044776,0.906959085
205,  ,internal,0.00497,0.00513,0.968810916
206,Acrocephalus arundinaceus,terminal,0.014892,0.01799,0.827793218
207,Hippolais icterina,terminal,0.016839,0.020086,0.838345116
208,  ,internal,0.014041,0.026117,0.537619175
209,  ,internal,0.000812,0.00107,0.758878505
210,  ,internal,0.000505,0.000651,0.775729647
211,Cisticola juncidis,terminal,0.056819,0.059134,0.960851625
212,  ,internal,0.00217,0.001675,1.295522388
213,Sylvietta virens,terminal,0.04485,0.047014,0.953971158
214,  ,internal,0.002299,0.001938,1.18627451
215,Nicator chloris,terminal,0.045374,0.047406,0.957136227
216,  ,internal,0.000744,0.000841,0.884661118
217,Alaudala cheleensis,terminal,0.048972,0.053526,0.914919852
218,Panurus biarmicus,terminal,0.043338,0.047711,0.908343988
219,  ,internal,0.003989,0.004865,0.819938335
220,  ,internal,0.004547,0.005175,0.878647343
221,Parus major,terminal,0.012051,0.014193,0.849080533
222,Pseudopodoces humilis,terminal,0.009877,0.012068,0.818445476
223,  ,internal,0.004339,0.005675,0.764581498
224,Poecile atricapillus,terminal,0.013457,0.017156,0.784390301
225,  ,internal,0.022744,0.032112,0.708271051
226,Anthoscopus minutus,terminal,0.05308,0.057774,0.91875238
227,  ,internal,0.006848,0.008188,0.836345872
228,  ,internal,0.001351,0.001256,1.075636943
229,  ,internal,0.008102,0.010132,0.79964469
230,Chaetops frenatus,terminal,0.037812,0.042525,0.889171076
231,Picathartes gymnocephalus,terminal,0.031696,0.036163,0.876475956
232,  ,internal,0.015207,0.018171,0.836882945
233,Drymodes brunneopygia,terminal,0.052195,0.055431,0.941621115
234,  ,internal,0.00205,0.002019,1.015354136
235,  ,internal,0.001854,0.001285,1.442801556
236,Callaeas wilsoni,terminal,0.037731,0.0417,0.904820144
237,Notiomystis cincta,terminal,0.050235,0.054122,0.928180777
238,  ,internal,0.004759,0.005321,0.894380755
239,  ,internal,0.001094,0.001862,0.587540279
240,Melanocharis versteri,terminal,0.042705,0.045855,0.931305201
241,  ,internal,0.001234,0.00112,1.101785714
242,Cnemophilus loriae,terminal,0.041884,0.044952,0.931749422
243,  ,internal,0.004093,0.004272,0.958099251
244,Erpornis zantholeuca,terminal,0.034175,0.03743,0.91303767
245,Vireo altiloquus,terminal,0.032201,0.035383,0.910069808
246,  ,internal,0.006275,0.008159,0.769089349
247,Pteruthius melanotis,terminal,0.036403,0.039792,0.914832127
248,  ,internal,0.007101,0.008006,0.88695978
249,Oreocharis arfaki,terminal,0.041785,0.044761,0.93351355
250,  ,internal,0.00142,0.001499,0.947298199
251,Pachycephala philippinensis,terminal,0.031543,0.034314,0.919245789
252,Oriolus oriolus,terminal,0.035375,0.038225,0.925441465
253,  ,internal,0.002031,0.002108,0.963472486
254,  ,internal,0.000597,0.000644,0.927018634
255,Aleadryas rufinucha,terminal,0.03074,0.033891,0.907025464
256,Falcunculus frontatus,terminal,0.03208,0.035329,0.908035891
257,  ,internal,0.003851,0.004155,0.926835138
258,  ,internal,0.000645,0.00057,1.131578947
259,Eulacestoma nigropectus,terminal,0.034691,0.037827,0.917096254
260,  ,internal,0.001555,0.000919,1.692056583
261,Daphoenositta chrysoptera,terminal,0.040517,0.043439,0.932733258
262,  ,internal,0.000604,0.000508,1.188976378
263,Dyaphorophyia castanea,terminal,0.031873,0.033924,0.939541328
264,Mystacornis crossleyi,terminal,0.033292,0.035872,0.928077609
265,  ,internal,0.001757,0.001668,1.053357314
266,Dryoscopus gambensis,terminal,0.030501,0.032996,0.924384774
267,  ,internal,0.002321,0.00206,1.126699029
268,Rhagologus leucostigma,terminal,0.025725,0.027983,0.919308151
269,  ,internal,0.001274,0.001332,0.956456456
270,Gymnorhina tibicen,terminal,0.027472,0.029645,0.926699275
271,  ,internal,0.000578,0.000935,0.618181818
272,Machaerirhynchus nigripectus,terminal,0.032691,0.035627,0.917590591
273,  ,internal,0.007118,0.008373,0.85011346
274,  ,internal,0.000743,0.000413,1.799031477
275,Mohoua ochrocephala,terminal,0.035762,0.038553,0.927606153
276,  ,internal,0.000521,0.000456,1.14254386
277,Corvus brachyrhynchos,terminal,0.000789,0.001504,0.524601064
278,Corvus cornix,terminal,0.000603,0.001283,0.469992206
279,  ,internal,0.001598,0.002627,0.608298439
280,Corvus moneduloides,terminal,0.003262,0.00454,0.718502203
281,  ,internal,0.005909,0.009708,0.608673259
282,Aphelocoma coerulescens,terminal,0.012555,0.014273,0.879632873
283,  ,internal,0.007654,0.014309,0.5349081
284,Lanius ludovicianus,terminal,0.041767,0.044485,0.938900753
285,  ,internal,0.003488,0.004306,0.810032513
286,Ifrita kowaldi,terminal,0.028201,0.030325,0.92995878
287,Paradisaea raggiana,terminal,0.024167,0.026268,0.92001675
288,  ,internal,0.001005,0.00112,0.897321429
289,Struthidea cinerea,terminal,0.028062,0.030092,0.93254021
290,  ,internal,0.000613,0.000445,1.37752809
291,  ,internal,7.10E-05,0.000541,0.131238447
292,Myiagra hebetior,terminal,0.03465,0.03724,0.930451128
293,  ,internal,0.001316,0.000976,1.348360656
294,Dicrurus megarhynchus,terminal,0.028494,0.030633,0.930173342
295,  ,internal,0.000382,0.000716,0.533519553
296,Chaetorhynchus papuensis,terminal,0.025366,0.029218,0.868163461
297,Rhipidura dahli,terminal,0.038301,0.041824,0.915766067
298,  ,internal,0.00605,0.007038,0.85961921
299,  ,internal,0.006923,0.008303,0.833795014
300,  ,internal,0.000871,0.000957,0.910135841
301,Edolisoma coerulescens,terminal,0.033765,0.03755,0.899201065
302,  ,internal,0.003877,0.003255,1.19109063
303,Ptilorrhoa leucosticta,terminal,0.036374,0.039865,0.912429449
304,  ,internal,0.00592,0.005915,1.000845309
305,  ,internal,0.002314,0.00253,0.914624506
306,Orthonyx spaldingii,terminal,0.046662,0.051334,0.908988195
307,Pomatostomus ruficeps,terminal,0.058213,0.061407,0.947986386
308,  ,internal,0.003003,0.003207,0.936389149
309,  ,internal,0.005687,0.007143,0.796164077
310,Origma solitaria,terminal,0.040366,0.043994,0.917534209
311,Pardalotus punctatus,terminal,0.040265,0.043978,0.915571422
312,  ,internal,0.005081,0.00573,0.886736475
313,Grantiella picta,terminal,0.048837,0.05209,0.937550394
314,  ,internal,0.001538,0.001744,0.881880734
315,Dasyornis broadbenti,terminal,0.046536,0.050437,0.922655987
316,  ,internal,0.004565,0.004817,0.947685281
317,Malurus elegans,terminal,0.070123,0.074555,0.940553953
318,  ,internal,0.008316,0.010224,0.813380282
319,  ,internal,0.010689,0.014043,0.761162145
320,Climacteris rufus,terminal,0.059451,0.064557,0.920907105
321,Ptilonorhynchus violaceus,terminal,0.045921,0.051283,0.895442934
322,  ,internal,0.006901,0.008494,0.812455851
323,  ,internal,0.005044,0.005747,0.877675309
324,Atrichornis clamosus,terminal,0.04636,0.050993,0.909144392
325,Menura novaehollandiae,terminal,0.031769,0.035971,0.883183676
326,  ,internal,0.014771,0.017717,0.833719027
327,  ,internal,0.009617,0.023587,0.407724594
328,Mionectes macconnelli,terminal,0.045877,0.049552,0.925835486
329,Tyrannus savana,terminal,0.036381,0.039671,0.917067883
330,  ,internal,0.001731,0.001758,0.984641638
331,Tachuris rubrigastra,terminal,0.038954,0.04351,0.895288439
332,  ,internal,0.000999,0.000824,1.212378641
333,Neopipo cinnamomea,terminal,0.031563,0.034731,0.908784659
334,  ,internal,0.002761,0.002419,1.141380736
335,Piprites chloris,terminal,0.042481,0.045607,0.93145789
336,  ,internal,0.004163,0.004258,0.977689056
337,Onychorhynchus coronatus,terminal,0.039351,0.04436,0.887082958
338,Oxyruncus cristatus,terminal,0.037912,0.041772,0.907593603
339,  ,internal,0.001862,0.002227,0.83610238
340,  ,internal,0.000785,0.000831,0.944645006
341,Pachyramphus minor,terminal,0.04424,0.047232,0.936653117
342,  ,internal,0.001812,0.00145,1.249655172
343,Cephalopterus ornatus,terminal,0.038337,0.040924,0.93678526
344,  ,internal,0.002102,0.001932,1.087991718
345,Lepidothrix coronata,terminal,0.010415,0.012041,0.864961382
346,Manacus manacus,terminal,0.011504,0.013161,0.874097713
347,  ,internal,0.008925,0.027484,0.324734391
348,  ,internal,0.003198,0.025632,0.124765918
349,Campylorhamphus procurvoides,terminal,0.011942,0.015593,0.765856474
350,Xiphorhynchus elegans,terminal,0.010568,0.014204,0.74401577
351,  ,internal,0.019632,0.020094,0.977008062
352,Furnarius figulus,terminal,0.031464,0.034164,0.920969442
353,  ,internal,0.004339,0.005607,0.773854111
354,Sclerurus mexicanus,terminal,0.030737,0.034209,0.898506241
355,  ,internal,0.012737,0.017858,0.713237765
356,Formicarius rufipectus,terminal,0.068581,0.071445,0.95991322
357,  ,internal,0.001381,0.002057,0.671366067
358,Scytalopus superciliaris,terminal,0.049577,0.053425,0.927973795
359,  ,internal,0.003336,0.003396,0.982332155
360,Grallaria varia,terminal,0.060626,0.064945,0.933497575
361,  ,internal,0.002929,0.003979,0.736114602
362,Rhegmatorhina hoffmannsi,terminal,0.020314,0.026922,0.754550182
363,Sakesphorus luctuosus,terminal,0.019421,0.026116,0.743643743
364,  ,internal,0.042126,0.04353,0.967746382
365,  ,internal,0.013187,0.017675,0.746082037
366,  ,internal,0.006412,0.007869,0.814843055
367,Sapayoa aenigma,terminal,0.056431,0.062497,0.902939341
368,Pitta sordida,terminal,0.076499,0.082093,0.931857771
369,  ,internal,0.002186,0.002215,0.986907449
370,Calyptomena viridis,terminal,0.041018,0.045737,0.896823141
371,Smithornis capensis,terminal,0.050005,0.055172,0.906347423
372,  ,internal,0.008196,0.01003,0.817148554
373,  ,internal,0.001488,0.001566,0.950191571
374,Neodrepanis coruscans,terminal,0.046411,0.051494,0.901289471
375,Serilophus lunatus,terminal,0.046582,0.052185,0.892631982
376,  ,internal,0.016576,0.019755,0.839078714
377,  ,internal,0.009583,0.027418,0.349514917
378,  ,internal,0.009343,0.011785,0.792787442
379,  ,internal,0.006553,0.008396,0.78049071
380,Acanthisitta chloris,terminal,0.084476,0.092343,0.914806753
381,  ,internal,0.036768,0.039883,0.921896547
382,Agapornis roseicollis,terminal,0.038954,0.042415,0.918401509
383,Melopsittacus undulatus,terminal,0.03545,0.038841,0.912695348
384,  ,internal,0.007787,0.009689,0.803694912
385,Amazona guildingii,terminal,0.041241,0.044509,0.926576647
386,  ,internal,0.006438,0.008142,0.790714812
387,Eolophus roseicapillus,terminal,0.013817,0.017424,0.792986685
388,Probosciger aterrimus,terminal,0.014906,0.018342,0.812670374
389,  ,internal,0.016941,0.017213,0.98419799
390,  ,internal,0.011942,0.014582,0.818954876
391,Nestor notabilis,terminal,0.042144,0.050153,0.840308656
392,  ,internal,0.051867,0.056779,0.913489142
393,  ,internal,0.002293,0.001787,1.283156128
394,Falco cherrug,terminal,0.000911,0.001997,0.456184276
395,Falco peregrinus,terminal,0.000878,0.002033,0.431874078
396,  ,internal,0.025004,0.057416,0.435488366
397,Herpetotheres cachinnans,terminal,0.026568,0.031814,0.835104042
398,  ,internal,0.028205,0.031114,0.90650511
399,  ,internal,0.002081,0.00112,1.858035714
400,Cariama cristata,terminal,0.007547,0.01314,0.57435312
401,Chunga burmeisteri,terminal,0.007436,0.012929,0.575141156
402,  ,internal,0.042357,0.05467,0.774775928
403,  ,internal,0.002332,0.001488,1.567204301
404,Ramphastos sulfuratus,terminal,0.018351,0.021022,0.872942632
405,Semnornis frantzii,terminal,0.02872,0.031586,0.909263598
406,  ,internal,0.002416,0.003248,0.743842365
407,Eubucco bourcierii,terminal,0.029816,0.035738,0.834294029
408,  ,internal,0.027547,0.02798,0.98452466
409,Tricholaema leucomelas,terminal,0.058739,0.064119,0.916093514
410,  ,internal,0.003101,0.00501,0.618962076
411,Psilopogon haemacephalus,terminal,0.065776,0.070502,0.932966441
412,  ,internal,0.016897,0.029565,0.571520379
413,Picoides pubescens,terminal,0.052484,0.058641,0.895005201
414,Indicator maculatus,terminal,0.044251,0.050467,0.876830404
415,  ,internal,0.016626,0.020812,0.798866039
416,  ,internal,0.065009,0.076438,0.850480128
417,Bucco capensis,terminal,0.087521,0.095162,0.919705345
418,Galbula dea,terminal,0.080933,0.091412,0.88536516
419,  ,internal,0.021587,0.026711,0.808168919
420,  ,internal,0.009609,0.010106,0.950821294
421,Chloroceryle aenea,terminal,0.062109,0.066803,0.929733695
422,Halcyon senegalensis,terminal,0.04342,0.047573,0.912702583
423,  ,internal,0.001628,0.003055,0.53289689
424,Ceyx cyanopectus,terminal,0.088837,0.093696,0.948140796
425,  ,internal,0.015624,0.025411,0.614851836
426,Baryphthengus martii,terminal,0.079944,0.083747,0.954589418
427,  ,internal,0.005192,0.006992,0.742562929
428,Todus mexicanus,terminal,0.088045,0.09357,0.940953297
429,  ,internal,0.009885,0.011772,0.839704383
430,Brachypteracias leptosomus,terminal,0.056888,0.061913,0.918837724
431,Eurystomus gularis,terminal,0.050625,0.056358,0.898275311
432,  ,internal,0.019973,0.02414,0.827381939
433,Merops nubicus,terminal,0.099795,0.10549,0.94601384
434,  ,internal,0.002782,0.003656,0.760940919
435,  ,internal,0.010104,0.01177,0.858453696
436,  ,internal,0.003388,0.003383,1.001477978
437,Buceros rhinoceros,terminal,0.043374,0.051739,0.838323122
438,Bucorvus abyssinicus,terminal,0.02782,0.035762,0.777920698
439,  ,internal,0.042399,0.051213,0.827895261
440,Rhinopomastus cyanomelas,terminal,0.092831,0.10585,0.877005196
441,Upupa epops,terminal,0.088847,0.102343,0.868129721
442,  ,internal,0.080891,0.092196,0.877380797
443,  ,internal,0.012765,0.013565,0.941024696
444,  ,internal,0.004387,0.002661,1.648628335
445,Apaloderma vittatum,terminal,0.029018,0.040024,0.725014991
446,Trogon melanurus,terminal,0.026245,0.03693,0.710668833
447,  ,internal,0.075673,0.081157,0.932427271
448,  ,internal,0.001846,0.001129,1.635075288
449,Leptosomus discolor,terminal,0.072346,0.077639,0.9318255
450,  ,internal,0.002496,0.00141,1.770212766
451,Colius striatus,terminal,0.028148,0.040566,0.693881576
452,Urocolius indicus,terminal,0.032478,0.044825,0.724551032
453,  ,internal,0.088714,0.098188,0.903511631
454,  ,internal,0.001193,0.000759,1.571805007
455,Haliaeetus albicilla,terminal,0.00033,0.00086,0.38372093
456,Haliaeetus leucocephalus,terminal,0.000377,0.000903,0.417497231
457,  ,internal,0.003537,0.016558,0.213612755
458,Aquila chrysaetos,terminal,0.004831,0.00612,0.789379085
459,Spizaetus tyrannus,terminal,0.005529,0.006702,0.824977619
460,  ,internal,0.004852,0.007019,0.691266562
461,  ,internal,0.001284,0.001489,0.862323707
462,Circaetus pectoralis,terminal,0.011406,0.013379,0.852530084
463,  ,internal,0.012118,0.014826,0.817347902
464,Pandion haliaetus,terminal,0.03574,0.03828,0.933646813
465,  ,internal,0.008916,0.011015,0.80944167
466,Sagittarius serpentarius,terminal,0.046003,0.049382,0.931574258
467,  ,internal,0.008832,0.009456,0.934010152
468,Cathartes aura,terminal,0.034275,0.036757,0.932475447
469,  ,internal,0.002415,0.001557,1.55105973
470,Ciccaba nigrolineata,terminal,0.000916,0.004245,0.215783274
471,Strix occidentalis,terminal,0.000832,0.004089,0.203472732
472,  ,internal,0.014914,0.015146,0.984682424
473,Glaucidium brasilianum,terminal,0.037291,0.042107,0.885624718
474,  ,internal,0.024084,0.033337,0.722440532
475,Tyto alba,terminal,0.063653,0.069544,0.915291039
476,  ,internal,0.0108,0.011617,0.929672032
477,  ,internal,0.000842,0.000546,1.542124542
478,  ,internal,0.000893,0.000901,0.991120977
479,  ,internal,0.006007,0.004594,1.307575098
480,Phalacrocorax auritus,terminal,0.001645,0.002647,0.621458255
481,Phalacrocorax brasilianus,terminal,0.001583,0.002549,0.621027854
482,  ,internal,0.001194,0.001631,0.732066217
483,Phalacrocorax harrisi,terminal,0.003407,0.004326,0.787563569
484,  ,internal,0.002148,0.002849,0.753948754
485,Phalacrocorax carbo,terminal,0.005793,0.006664,0.869297719
486,Phalacrocorax pelagicus,terminal,0.005707,0.00656,0.869969512
487,  ,internal,0.000661,0.000668,0.989520958
488,  ,internal,0.01274,0.044136,0.288653254
489,Anhinga anhinga,terminal,0.01907,0.021567,0.884221264
