,Taxon,Branch Type,l1,l2,l1/l2
101,  ,internal,0.001354,2.49E-06,542.7941471
102,G000993415,terminal,0.059506,0.000417153,142.6479698
103,  ,internal,0.103413,0.000499935,206.8527667
104,G000994025,terminal,0.091467,0.009767468,9.364453606
105,  ,internal,0.390801,0.164457553,2.376303147
106,G001824235,terminal,0.117388,0.000811978,144.5704016
107,G001825395,terminal,0.116937,0.00093211,125.4540773
108,  ,internal,0.511836,0.188419863,2.716465197
109,  ,internal,0.286609,0.035221983,8.137219304
110,G001824155,terminal,0.164543,2.58E-06,63662.84918
111,G001825405,terminal,0.165063,0.000145225,1136.598694
112,  ,internal,0.200468,2.56E-06,78203.94788
113,G001823815,terminal,0.087075,0.021027372,4.141031053
114,  ,internal,0.005872,2.23E-06,2635.665874
115,G001824095,terminal,0.227179,0.001394082,162.9595793
116,  ,internal,0.324625,2.60E-06,124995.1869
117,G001825235,terminal,0.083934,0.017236436,4.869568051
118,  ,internal,0.036605,2.35E-06,15601.82423
119,G000996025,terminal,0.226754,0.017668398,12.83387472
120,  ,internal,0.305105,0.008864779,34.41766685
121,G001824195,terminal,0.181293,0.036926239,4.909598254
122,  ,internal,0.46836,0.181452886,2.581165897
123,  ,internal,0.400883,0.155550896,2.577182191
124,G001824275,terminal,0.027234,2.29E-06,11917.55645
125,G001825445,terminal,0.027279,2.62E-06,10428.54958
126,  ,internal,0.363071,0.131938878,2.751812091
127,G001825335,terminal,0.42723,0.143552099,2.97613204
128,  ,internal,0.272365,0.021484938,12.67702041
129,G001825325,terminal,0.297171,0.180210852,1.649018344
130,  ,internal,0.279608,0.029754695,9.397105293
131,G001825295,terminal,0.000897,0.000672285,1.334255164
132,G001823825,terminal,0.000431,2.54E-06,169.498191
133,  ,internal,0.001248,0.01160011,0.107585185
134,G000992905,terminal,0.234288,0.118794115,1.972218913
135,  ,internal,0.442077,0.151139296,2.924963999
136,  ,internal,0.498975,0.194636838,2.563620568
137,  ,internal,0.022402,0.051029385,0.439001963
138,G001823715,terminal,0.011877,2.08E-06,5708.723864
139,G001823945,terminal,0.34407,0.019045141,18.06602516
140,  ,internal,0.016634,2.19E-06,7601.334369
141,G001825315,terminal,0.104403,0.000152183,686.0349894
142,  ,internal,0.423218,0.142272478,2.97470042
143,G001824025,terminal,0.117223,0.170989567,0.685556448
144,  ,internal,0.044902,0.017876382,2.511805801
145,G001824135,terminal,0.064257,0.006266773,10.2536031
146,G001823745,terminal,0.062783,0.002396064,26.2025599
147,  ,internal,0.308445,0.136161021,2.265295886
148,  ,internal,0.175161,0.06160456,2.843312248
149,G001824255,terminal,9.00E-06,2.58E-06,3.482163584
150,G001825215,terminal,9.00E-06,2.58E-06,3.482163584
151,  ,internal,2.20E-05,0.000340155,0.064676493
152,G001823795,terminal,0.036458,0.000819679,44.47839812
153,  ,internal,0.076879,8.20E-05,937.9376815
154,G001824075,terminal,0.0989,0.009173442,10.78112241
155,  ,internal,0.44098,0.117209742,3.762315262
156,G001824005,terminal,0.167162,0.033708478,4.959049189
157,G001823735,terminal,0.180375,0.065286495,2.762822532
158,  ,internal,0.375517,0.143769742,2.611933464
159,  ,internal,0.186321,0.085513,2.178861696
160,  ,internal,0.429794,0.158897001,2.704859106
161,G001823695,terminal,0.28607,0.014420549,19.83766305
162,G001823995,terminal,0.452435,0.002101526,215.2887744
163,  ,internal,0.250672,0.009047368,27.70662019
164,G001823895,terminal,0.164305,0.00172068,95.48841156
165,  ,internal,0.569877,0.242536386,2.349655691
166,G001823875,terminal,0.273693,0.261296201,1.04744347
167,  ,internal,0.185738,0.085352539,2.176127412
168,  ,internal,0.052864,0.044985468,1.175135046
169,  ,internal,0.153481,0.062908305,2.439757366
170,  ,internal,0.103418,0.028656634,3.608867721
171,G001774495,terminal,0.576879,0.376237007,1.533286171
172,  ,internal,0.050872,0.020738421,2.45303156
173,G001781515,terminal,0.105007,0.014684585,7.150832173
174,G001781175,terminal,0.11158,0.002105554,52.99317144
175,  ,internal,0.310282,0.111363858,2.786200182
176,G001781275,terminal,0.033088,0.132742646,0.24926428
177,  ,internal,0.17364,0.031837352,5.453971103
178,G001781105,terminal,0.084124,0.000906394,92.81178649
179,G001781725,terminal,0.083029,2.08E-06,39908.19515
180,  ,internal,0.392348,0.145440689,2.697649479
181,  ,internal,1.005365,0.022039428,45.61665637
182,G001781875,terminal,0.148217,0.271019512,0.546886823
183,  ,internal,0.10555,0.029996409,3.518754552
184,G001781335,terminal,0.169198,2.20E-06,76988.66997
185,G001783415,terminal,0.168561,0.000589015,286.1743759
186,  ,internal,0.297568,0.009666269,30.78416359
187,G001781195,terminal,0.122038,0.00689747,17.69315339
188,  ,internal,0.225228,0.001627858,138.35848
189,G001781605,terminal,0.168757,0.010152801,16.62171832
190,  ,internal,0.557285,0.222497204,2.504683163
191,  ,internal,0.124773,0.040960107,3.046207863
192,G001781445,terminal,0.003345,0.005400008,0.61944355
193,G001781795,terminal,0.101281,0.00010548,960.1905952
194,  ,internal,0.001585,2.96E-06,535.3282897
195,G001781355,terminal,0.007544,0.000434316,17.36982932
196,  ,internal,0.009671,2.07E-06,4676.499033
197,G001783445,terminal,0.23057,0.005808671,39.69410832
198,  ,internal,0.418978,0.013902779,30.13627664
199,G001004985,terminal,0.161791,0.081652642,1.98145456
200,  ,internal,0.360599,0.114408222,3.151862632
201,G001783355,terminal,0.09566,0.062962062,1.519327621
202,G001783375,terminal,0.121157,0.042097958,2.877978072
203,  ,internal,0.281818,0.113373642,2.485745331
204,  ,internal,0.067959,0.022565376,3.011649325
205,G001781685,terminal,0.030325,0.187788933,0.16148449
206,  ,internal,0.273356,0.065877951,4.149430848
207,  ,internal,0.029876,0.014679949,2.03515699
208,G001781845,terminal,0.189613,0.025074519,7.561979554
209,G001003805,terminal,0.173624,0.007231468,24.00950922
210,  ,internal,0.548513,0.244192533,2.246231661
211,  ,internal,0.056315,0.021077804,2.671767881
212,G001781555,terminal,0.101793,0.00961676,10.58495815
213,G001781675,terminal,0.12859,0.02596089,4.953220112
214,  ,internal,0.406212,0.14511513,2.799239482
215,G001781465,terminal,0.062694,0.166149316,0.377335289
216,  ,internal,0.166034,0.034827,4.767393183
217,G001004265,terminal,0.095011,0.231055938,0.411203456
218,  ,internal,0.216306,0.045242694,4.781014987
219,  ,internal,0.234526,0.049364456,4.750908224
220,G001783335,terminal,0.135702,0.001469306,92.35791383
221,G001783485,terminal,0.152821,0.006408887,23.84516925
222,  ,internal,0.196521,0.003032151,64.81240759
223,G001779655,terminal,0.17078,0.003935894,43.39039949
224,  ,internal,0.742326,0.315944359,2.349546619
225,  ,internal,0.447829,0.032449963,13.80060142
226,G001824355,terminal,0.129262,0.335689337,0.385064361
227,  ,internal,0.453837,0.107246648,4.231712686
228,G001781565,terminal,0.045605,2.23E-06,20472.70605
229,G001781285,terminal,0.094662,0.009528947,9.934150963
230,  ,internal,0.085748,2.36E-06,36313.89489
231,G001783465,terminal,0.064485,0.020594295,3.131206983
232,  ,internal,0.057879,0.003235612,17.88811624
233,G001781885,terminal,0.082237,0.027130521,3.031161853
234,  ,internal,0.24481,0.100794526,2.428802525
235,G001004905,terminal,0.016975,0.005234562,3.242869098
236,G001005015,terminal,0.013439,0.006704633,2.004434724
237,  ,internal,0.278816,0.122379469,2.278290646
238,  ,internal,0.196359,0.022057443,8.902165295
239,G001779585,terminal,0.114865,0.156964164,0.731791237
240,  ,internal,0.011142,0.012687921,0.878158074
241,G001872505,terminal,0.111293,0.137265796,0.810784645
242,  ,internal,0.12138,0.028847305,4.207672057
243,G001781095,terminal,0.138466,0.145296644,0.952988289
244,  ,internal,0.168544,0.058688471,2.871841709
245,G001781625,terminal,0.209062,0.212110626,0.98562719
246,  ,internal,0.189807,0.046494914,4.082317459
247,G001189195,terminal,0.059516,0.033951065,1.752993636
248,G001189215,terminal,0.080806,0.044466544,1.81723142
249,  ,internal,0.389241,0.157992313,2.463670494
250,G001189075,terminal,0.146247,0.179515064,0.81467815
251,  ,internal,0.080131,0.043669902,1.834925112
252,G001189095,terminal,0.166139,0.200894959,0.826994369
253,  ,internal,0.198359,0.079323997,2.500617817
254,  ,internal,0.556417,0.16495216,3.373202267
255,  ,internal,0.169432,0.02799881,6.051400128
256,G001004755,terminal,0.210072,0.016834438,12.47870615
257,G001775435,terminal,0.173915,0.000402216,432.391833
258,  ,internal,0.274537,0.002167455,126.6633279
259,G001004665,terminal,0.111943,0.018345287,6.102003234
260,  ,internal,0.371088,0.185574071,1.999675912
261,G001775445,terminal,0.194691,0.184205045,1.056925449
262,  ,internal,0.181116,0.071228089,2.542760908
263,G001775475,terminal,0.120906,0.227066981,0.532468434
264,  ,internal,0.478827,0.186397973,2.568842318
265,  ,internal,0.480734,0.012026944,39.97141851
266,G001779615,terminal,0.321084,0.461735267,0.69538548
267,  ,internal,0.049251,0.023125766,2.129702465
268,G001781415,terminal,0.094877,2.11E-06,44988.85675
269,G001781805,terminal,0.132646,0.00645677,20.54370934
270,  ,internal,0.187447,2.41E-06,77753.02804
271,G001783435,terminal,0.084555,0.00059496,142.1188457
272,  ,internal,0.155704,0.010484775,14.85048587
273,G001781375,terminal,0.129074,0.018682453,6.908835905
274,  ,internal,0.412309,0.147554429,2.794284137
275,G001567365,terminal,0.104029,0.14435783,0.72063289
276,  ,internal,0.23806,0.061067345,3.898319168
277,G001783565,terminal,0.135232,0.173605457,0.778961689
278,  ,internal,0.234482,0.03660064,6.406499961
279,G001873485,terminal,0.222671,0.240291309,0.92667105
280,  ,internal,0.108103,0.05187386,2.083959058
281,G001779595,terminal,0.010738,0.046350101,0.231671554
282,G001783525,terminal,0.017603,0.036424987,0.483267158
283,  ,internal,0.412074,0.183801843,2.241947058
284,  ,internal,0.016056,0.063019699,0.254777478
285,G001781255,terminal,0.010478,2.21E-06,4742.464017
286,G001783515,terminal,0.010332,0.000244398,42.27525314
287,  ,internal,0.142264,0.053522074,2.658043508
288,G001781205,terminal,0.055732,0.056694215,0.983027995
289,  ,internal,0.664871,0.296659209,2.241194541
290,  ,internal,0.452982,0.132519821,3.418220728
291,G000998805,terminal,0.195464,0.065077761,3.003545246
292,G000998045,terminal,0.187837,0.047011471,3.995556719
293,  ,internal,0.755503,0.345252169,2.188264311
294,  ,internal,0.191894,0.056551353,3.39326983
295,  ,internal,0.097729,0.02297416,4.253866083
296,G001781435,terminal,0.045181,0.012682931,3.562346905
297,G001779665,terminal,0.023289,4.19E-05,555.3992178
298,  ,internal,0.041834,0.002712948,15.42012487
299,G001781525,terminal,0.18886,0.017349278,10.88575584
300,  ,internal,0.761071,0.319421653,2.382653125
301,  ,internal,0.189888,0.038196963,4.971285257
302,  ,internal,1.140303,0.015802293,72.16060535
303,G001003845,terminal,0.177469,0.498215578,0.356209256
304,  ,internal,0.025677,0.024935519,1.029735936
305,G001823495,terminal,0,2.58E-06,0
306,G001825075,terminal,0,2.63E-06,0
307,  ,internal,1.00E-06,2.90E-06,0.344815696
308,G001823535,terminal,0.009889,2.58E-06,3826.123965
309,  ,internal,0.147016,0.068813349,2.136445936
310,G001000595,terminal,0.010241,0.045997613,0.222641986
311,G001873305,terminal,0.036308,0.057845933,0.627667293
312,  ,internal,0.078618,0.03346075,2.349558818
313,  ,internal,0.211987,0.027268234,7.774137539
314,G000999475,terminal,0.125046,2.58E-06,48381.18084
315,G000998425,terminal,0.131959,2.58E-06,51055.86938
316,  ,internal,0.143864,0.010912284,13.18367483
317,G000997825,terminal,0.045057,0.000584479,77.08922106
318,  ,internal,0.217254,0.079764182,2.723703733
319,  ,internal,0.219229,0.078022144,2.809830501
320,G001871765,terminal,0.049219,0.1580834,0.311348314
321,  ,internal,0.16924,0.053940938,3.137505709
322,G000996605,terminal,0.102352,0.156716861,0.653101393
323,  ,internal,0.420601,0.043016206,9.777733468
324,G001823545,terminal,0.00034,2.19E-06,155.0387597
325,G001825065,terminal,0.00034,2.85E-06,119.3191788
326,  ,internal,0.001181,0.023123002,0.051074684
327,G000997715,terminal,0.223423,0.191756335,1.165140126
328,  ,internal,0.290664,0.152748806,1.902888846
329,  ,internal,0.342129,0.124928691,2.738594298
330,G001823505,terminal,0.366644,0.282898018,1.296028877
331,  ,internal,0.244395,0.049914577,4.896265083
332,G001819055,terminal,0.000322,2.58E-06,124.5840749
333,G001819035,terminal,0.000319,2.58E-06,123.4233537
334,  ,internal,0.000604,0.003894826,0.155077543
335,G001819095,terminal,0.499203,0.017936931,27.83101493
336,  ,internal,0.624448,0.004011367,155.6696297
337,G001818975,terminal,0.128429,0.029567528,4.343582624
338,  ,internal,0.297043,0.085848097,3.460099995
339,G001818995,terminal,0.054236,0.122401474,0.443099239
340,  ,internal,0.182175,0.053135315,3.428510794
341,G001821435,terminal,0.132779,0.016394502,8.098995775
342,G001821385,terminal,0.121492,0.012187457,9.968609939
343,  ,internal,0.359629,0.127155766,2.828255543
344,  ,internal,0.225542,0.062165694,3.628078236
345,G001821395,terminal,0.089056,0.000688666,129.3167352
346,G001818945,terminal,0.091832,0.008193905,11.20735501
347,  ,internal,0.376983,0.106297874,3.54647733
348,G000999395,terminal,0.060387,0.140598018,0.429501077
349,  ,internal,0.288209,0.094782174,3.040751089
350,  ,internal,0.031267,0.034986858,0.893678431
351,G001819135,terminal,0.052872,0.154530457,0.342146144
352,  ,internal,0.532261,0.189074625,2.815084259
353,  ,internal,0.032581,0.043191413,0.754339763
354,G001819075,terminal,0.220206,0.003966136,55.5215468
355,G001819015,terminal,0.220171,1.75E-05,12578.46868
356,  ,internal,0.972538,0.446321256,2.179008925
357,  ,internal,0.361464,0.048631,7.432789815
358,  ,internal,0.030421,0.018634586,1.63250205
359,G001785695,terminal,0,2.58E-06,0
360,G001785275,terminal,0,2.58E-06,0
361,  ,internal,0,2.53E-06,0
362,G001786885,terminal,1.00E-06,2.58E-06,0.386907065
363,G001786045,terminal,1.00E-06,2.58E-06,0.386907065
364,  ,internal,1.00E-06,2.53E-06,0.395241295
365,  ,internal,0,1.00E-06,0
366,G001786195,terminal,2.00E-06,2.58E-06,0.77381413
367,  ,internal,3.00E-06,2.30E-06,1.302309429
368,G001785895,terminal,0.000179,2.58E-06,69.25636462
369,  ,internal,3.00E-06,2.78E-06,1.078244618
370,G001785465,terminal,0.000393,0.000119501,3.288664401
371,  ,internal,2.00E-06,2.06E-06,0.969932105
372,G000994675,terminal,0.027054,0.00113603,23.81450565
373,  ,internal,0.4286,0.13733735,3.120782518
374,G001785985,terminal,0.05748,0.144422988,0.397997583
375,  ,internal,0.150417,0.028915885,5.201881196
376,G001786805,terminal,0.039238,0.176150121,0.222753182
377,  ,internal,0.069657,0.010872163,6.406912773
378,G000990145,terminal,0.127765,0.009444387,13.52814182
379,G000991975,terminal,0.143765,0.056568418,2.541435758
380,  ,internal,0.342467,0.128809015,2.658719198
381,  ,internal,0.236332,0.06054017,3.90372212
382,G001785785,terminal,0.031884,2.12E-06,15048.85071
383,G001785545,terminal,0.195074,0.023932879,8.150879067
384,  ,internal,0.044394,0.000418762,106.0124844
385,G001785675,terminal,0.113826,0.013740997,8.283678216
386,  ,internal,0.06408,0.006017803,10.64840476
387,G001786175,terminal,0.156942,0.010431817,15.04455044
388,  ,internal,0.526888,0.172076326,3.061943577
389,  ,internal,0.017526,0.010022699,1.748630713
390,G000995805,terminal,0.018358,2.58E-06,7102.839898
391,G000994625,terminal,0.043696,0.00680209,6.423907851
392,  ,internal,0.037905,2.70E-06,14015.01146
393,G001786905,terminal,0.168689,0.017918366,9.414307086
394,  ,internal,0.0112,4.23E-05,264.7453717
395,G000994305,terminal,0.059354,0.004272284,13.89280203
396,  ,internal,0.05154,0.006115955,8.427138801
397,G000994515,terminal,0.365918,0.012814856,28.5542037
398,  ,internal,0.329708,0.002544337,129.5850353
399,G000994485,terminal,0.119292,0.012242109,9.744399274
400,  ,internal,0.400098,0.206265845,1.939720078
401,  ,internal,0.024535,0.01820398,1.347782173
402,G001785295,terminal,0.102607,0.154306186,0.664957141
403,  ,internal,0.063026,0.01457337,4.324737637
404,G001786745,terminal,0.05634,0.184366354,0.305587212
405,  ,internal,0.054427,0.009415697,5.780453579
406,G001786795,terminal,0.142507,0.213652904,0.667002402
407,  ,internal,0.03484,0.020805288,1.674574264
408,G001787245,terminal,0.070435,0.005413181,13.01175802
409,G000995945,terminal,0.063371,0.000943228,67.1852191
410,  ,internal,0.237615,0.06084638,3.905162451
411,G001786735,terminal,0.088156,0.068135536,1.293832927
412,  ,internal,0.306023,0.080865249,3.784357376
413,G000994705,terminal,0.067765,0.14866407,0.455826346
414,  ,internal,0.050086,0.035877036,1.396046202
415,G000999185,terminal,0.021114,0.001581275,13.35251785
416,G000999925,terminal,0.105055,0.025826364,4.06774256
417,  ,internal,0.020382,0.004213335,4.837497742
418,G001000035,terminal,0.127515,0.011941756,10.67807819
419,  ,internal,0.422433,0.163226702,2.588014057
420,  ,internal,0.043811,0.020940436,2.092172283
421,G000996985,terminal,0.117347,0.010656101,11.01218886
422,G000997645,terminal,0.099652,0.005464799,18.23525406
423,  ,internal,0.469433,0.114601167,4.096232298
424,G000998465,terminal,0.1669,0.154537765,1.079994915
425,  ,internal,0.034882,0.029398865,1.186508395
426,  ,internal,0.200829,0.034271911,5.859871609
427,  ,internal,0.091659,0.018247315,5.023150119
428,G001786125,terminal,0.000451,0.001485415,0.303618874
429,G001786965,terminal,0.001955,0.000715827,2.731105292
430,  ,internal,0.000925,2.09E-06,443.1137725
431,G001787125,terminal,0.025365,0.001537965,16.49257298
432,  ,internal,0.382286,0.169953455,2.249357042
433,G001785615,terminal,0.030174,0.130120599,0.231892569
434,  ,internal,0.226696,0.068046142,3.33150407
435,  ,internal,0.011128,0.009161592,1.214636006
436,G001786055,terminal,0.027579,0.004926679,5.597888444
437,G001785595,terminal,0.029038,2.17E-06,13400.09229
438,  ,internal,0.495647,0.233178634,2.125610701
439,  ,internal,0.051281,0.033649949,1.523954752
440,G001785515,terminal,0.030144,0.116193675,0.259428923
441,G000990665,terminal,0.046591,0.100707059,0.462638868
442,  ,internal,0.099073,0.035904932,2.759314522
443,G000993105,terminal,0.040766,0.159262189,0.25596785
444,  ,internal,0.26532,0.089312818,2.970682232
445,G001785805,terminal,0.094215,0.181428403,0.519295757
446,G001785815,terminal,0.120281,0.202654944,0.593526108
447,  ,internal,0.021228,0.039821178,0.533083171
448,  ,internal,0.021224,0.024552238,0.864442585
449,  ,internal,0.379199,0.023102358,16.41386592
450,G000993955,terminal,0.028962,0.286294899,0.101161425
451,  ,internal,0.054918,0.014237293,3.857334315
452,G001786225,terminal,0.116319,0.213489556,0.544846326
453,  ,internal,0.415366,0.088246129,4.706903358
454,G000991655,terminal,0.391376,0.000115649,3384.168143
455,G000991335,terminal,0.359322,0.000229463,1565.924979
456,  ,internal,0.586166,2.60E-06,225622.0169
457,G000991845,terminal,0.269612,0.013607595,19.81334747
458,  ,internal,0.110825,2.80E-06,39644.07083
459,G000991285,terminal,0.281794,0.011432613,24.6482578
460,  ,internal,0.014013,2.09E-06,6717.963469
461,G000991405,terminal,0.00121,0.000227399,5.321034268
462,G000991485,terminal,0.000222,2.58E-06,85.89336841
463,  ,internal,0.0004,2.79E-06,143.2510833
464,  ,internal,0.003193,2.60E-06,1227.746376
465,G000992205,terminal,0.000616,0.001267008,0.486184622
466,  ,internal,0.001965,2.19E-06,897.5471612
467,G000991735,terminal,0.061626,0.000469237,131.3323265
468,  ,internal,0.101283,2.82E-06,35950.37802
469,G000992005,terminal,0.046193,0.009403883,4.912119604
470,  ,internal,0.039803,2.03E-06,19652.89093
471,G001786355,terminal,0.106955,0.016982179,6.298072747
472,  ,internal,0.025953,2.01E-06,12885.65612
473,G001786255,terminal,0.055115,0.014300465,3.854070614
474,  ,internal,0.069112,0.001981773,34.8738261
475,G001786325,terminal,0.103729,0.024346546,4.260522229
476,  ,internal,0.28612,0.048796227,5.863568111
477,G000990275,terminal,0.367281,2.58E-06,142103.6137
478,G000990325,terminal,0.359105,2.58E-06,138940.2615
479,  ,internal,0.458364,2.18E-06,210664.5831
480,G000990965,terminal,0.079579,0.011445738,6.952718752
481,  ,internal,0.008984,0.00010915,82.30844779
482,G000990495,terminal,0.068318,2.86E-06,23920.03081
483,  ,internal,0.288868,0.071766843,4.02508996
484,  ,internal,0.649577,0.201389727,3.22547237
485,G001785485,terminal,0.388973,0.44075374,0.882517753
486,  ,internal,0.136915,0.083946695,1.630975474
487,  ,internal,0.127945,0.053760041,2.379927509
488,G001785415,terminal,0.133337,0.333154546,0.400225666
489,  ,internal,0.344989,0.025490812,13.53385661
490,G001786095,terminal,0.285549,0.411266479,0.694316251
491,  ,internal,0.359612,0.088931546,4.04369447
492,  ,internal,0.125397,0.023616506,5.309718663
493,G000998905,terminal,0.209173,0.05258036,3.978158422
494,G000994995,terminal,0.024557,0.006841264,3.589541453
495,  ,internal,0.016533,0.000927966,17.81638167
496,G001823055,terminal,0.194012,0.009941208,19.51593751
497,  ,internal,0.62851,0.253588846,2.478460747
498,G001890035,terminal,0.401078,0.327855882,1.223336297
499,  ,internal,0.201578,0.067534498,2.984815279
500,G001824825,terminal,0.417084,0.307983058,1.354243324
501,  ,internal,0.133538,0.049031672,2.723504949
502,G001004355,terminal,0.043085,0.005513817,7.814005593
503,G001004305,terminal,0.043395,0.00246818,17.58177806
504,  ,internal,0.226219,0.346727923,0.652439521
505,  ,internal,0.274791,0.048709627,5.641410522
506,G001825555,terminal,0.429408,0.403937097,1.063056608
507,G000993015,terminal,0.43062,0.347714378,1.238430237
508,  ,internal,0.153463,0.081274631,1.888202984
509,  ,internal,0.381994,0.020949173,18.23432353
510,G001825485,terminal,0.647761,0.551395069,1.174767487
511,  ,internal,0.049349,0.026775921,1.843036545
512,  ,internal,0.370486,0.071400379,5.188852001
513,G000996035,terminal,0.080727,0.007535209,10.71330589
514,G000993875,terminal,0.078274,0.000572156,136.8052751
515,  ,internal,0.110562,2.83E-06,39031.98475
516,G000995735,terminal,0.038044,0.012026354,3.163385958
517,  ,internal,0.0275,2.44E-06,11260.80013
518,G000993845,terminal,0.181257,0.0081862,22.14177572
519,  ,internal,0.301027,0.016876495,17.83705659
520,G000994355,terminal,0.14955,0.031767275,4.707674741
521,  ,internal,0.670955,0.376879986,1.78028822
522,G000997345,terminal,0.12396,0.36527226,0.339363302
523,  ,internal,0.155407,0.054662362,2.843034873
