GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
31,default,0.046100,1000,0.271676,0.267020,0.286499,0.174804,9.991832,1.000000,0.050419,0.119262,0.076532,0.375203
32,default,0.028152,1000,0.397351,0.193931,0.244158,0.164560,7.677959,1.000000,0.069892,0.080042,0.029117,0.312851
33,default,0.076503,1000,0.342772,0.253926,0.157396,0.245906,2.943650,1.000000,0.111519,0.125653,0.094823,0.377629
34,default,0.724077,1000,0.300384,0.258964,0.224320,0.216332,15.978857,1.000000,0.126700,0.044987,0.099671,0.405664
35,default,1.095373,1000,0.266163,0.245349,0.197382,0.291106,11.399679,1.000000,0.076844,0.037535,0.149663,0.302350
36,default,0.614914,1000,0.276275,0.231343,0.175844,0.316538,7.118550,1.000000,0.142759,0.020525,0.149980,0.311899
37,default,2.017471,1000,0.351433,0.234731,0.162879,0.250956,7.213354,1.000000,0.091772,0.144178,0.114506,0.341526
38,default,1.484126,1000,0.275485,0.215473,0.280074,0.228968,22.455292,1.000000,0.123457,0.087656,0.057090,0.324179
39,default,0.448990,1000,0.228148,0.225896,0.237214,0.308742,2.597916,1.000000,0.090558,0.054895,0.088058,0.303400
40,default,0.255763,1000,0.233167,0.199128,0.243721,0.323984,9.480749,1.000000,0.063280,0.152946,0.092965,0.197899
41,default,0.020828,1000,0.248686,0.218330,0.266470,0.266515,10.959817,1.000000,0.097668,0.097855,0.069843,0.228358
42,default,0.321507,1000,0.251847,0.234325,0.265522,0.248306,6.055562,1.000000,0.057197,0.146315,0.120335,0.264439
43,default,0.201098,1000,0.299690,0.184862,0.242836,0.272612,2.422415,1.000000,0.057890,0.049044,0.189127,0.460085
44,default,0.980491,1000,0.337140,0.167408,0.193912,0.301540,7.300894,1.000000,0.112327,0.085258,0.069888,0.317592
45,default,0.477013,1000,0.272922,0.254164,0.236782,0.236132,2.913076,1.000000,0.057874,0.078929,0.163345,0.349261
46,default,1.471089,1000,0.297391,0.194286,0.181342,0.326981,11.963562,1.000000,0.069209,0.150665,0.144403,0.268218
47,default,1.592527,1000,0.241362,0.170584,0.223317,0.364738,7.935933,1.000000,0.089390,0.108094,0.109544,0.240103
48,default,0.010741,1000,0.308978,0.187534,0.282239,0.221249,21.373436,1.000000,0.106497,0.170501,0.082005,0.246551
49,default,0.262807,1000,0.219598,0.286394,0.199105,0.294904,4.746035,1.000000,0.080435,0.137538,0.202463,0.200833
50,default,0.513951,1000,0.257091,0.318524,0.209694,0.214690,8.260828,1.000000,0.145039,0.093407,0.194978,0.192741
51,default,1.682271,1000,0.246117,0.220587,0.279915,0.253380,3.507575,1.000000,0.088975,0.077535,0.122106,0.273035
52,default,0.064692,1000,0.329807,0.236426,0.187661,0.246107,4.561005,1.000000,0.097629,0.093035,0.036760,0.337939
53,default,1.923295,1000,0.353736,0.195967,0.274563,0.175733,2.121273,1.000000,0.155697,0.229763,0.052062,0.270510
54,default,0.457277,1000,0.331924,0.225548,0.250117,0.192410,3.955340,1.000000,0.078101,0.045853,0.160063,0.247453
55,default,3.161964,1000,0.282416,0.232301,0.248217,0.237067,3.901472,1.000000,0.074321,0.165925,0.101201,0.307214
56,default,0.397643,1000,0.298195,0.246486,0.186292,0.269027,9.419773,1.000000,0.051919,0.110467,0.178432,0.255060
57,default,0.420291,1000,0.360566,0.213338,0.201467,0.224629,5.256458,1.000000,0.067060,0.130167,0.096822,0.326112
58,default,0.162464,1000,0.295241,0.275598,0.165747,0.263414,4.491731,1.000000,0.145702,0.212973,0.127850,0.192920
59,default,0.235462,1000,0.279470,0.155909,0.271775,0.292845,2.243727,1.000000,0.087229,0.048230,0.136593,0.320848
60,default,0.008750,1000,0.278684,0.231452,0.269951,0.219914,3.019803,1.000000,0.095994,0.069250,0.220347,0.264108
61,default,0.143149,1000,0.294057,0.217185,0.227916,0.260843,20.551781,1.000000,0.126883,0.075768,0.186479,0.287935
62,default,0.419033,1000,0.282192,0.219331,0.196068,0.302409,9.016030,1.000000,0.137655,0.134729,0.164822,0.154928
63,default,0.154421,1000,0.293608,0.242044,0.191081,0.273267,2.781395,1.000000,0.061067,0.066401,0.125573,0.407548
64,default,2.184026,1000,0.310807,0.162753,0.288820,0.237619,11.769071,1.000000,0.113854,0.136530,0.140914,0.337247
65,default,0.024560,1000,0.306249,0.227070,0.242658,0.224023,6.851697,1.000000,0.059251,0.088239,0.229883,0.290508
66,default,1.449287,1000,0.242464,0.217637,0.270428,0.269470,3.148954,1.000000,0.059484,0.178607,0.112054,0.313805
67,default,0.155977,1000,0.330668,0.189129,0.233613,0.246589,8.646353,1.000000,0.079520,0.072617,0.134145,0.308312
68,default,0.980361,1000,0.406260,0.152215,0.176884,0.264641,5.474122,1.000000,0.083175,0.071483,0.123826,0.419017
69,default,0.209041,1000,0.287325,0.269152,0.246897,0.196627,13.231269,1.000000,0.078190,0.087687,0.109387,0.320079
70,default,0.069095,1000,0.212797,0.231752,0.262063,0.293389,8.355083,1.000000,0.054179,0.092792,0.102658,0.358684
71,default,0.721065,1000,0.314037,0.188267,0.209266,0.288430,6.300020,1.000000,0.047668,0.051639,0.105429,0.283208
72,default,0.002925,1000,0.325675,0.171897,0.303493,0.198935,2.137499,1.000000,0.146102,0.146254,0.118718,0.235376
73,default,0.925307,1000,0.292279,0.174334,0.241798,0.291589,17.536855,1.000000,0.076089,0.079162,0.216455,0.329418
74,default,1.714516,1000,0.319631,0.204540,0.228078,0.247751,5.837026,1.000000,0.084325,0.033391,0.172596,0.304941
75,default,0.524401,1000,0.242071,0.233228,0.254135,0.270566,2.800589,1.000000,0.096299,0.103415,0.114524,0.265205
76,default,0.518002,1000,0.326223,0.198319,0.230667,0.244791,10.019409,1.000000,0.110364,0.087651,0.140274,0.274037
77,default,0.741580,1000,0.298430,0.260816,0.228379,0.212375,7.224020,1.000000,0.086750,0.135810,0.133733,0.341896
78,default,0.717642,1000,0.405448,0.232553,0.153801,0.208198,4.147944,1.000000,0.123410,0.173102,0.174044,0.260540
79,default,1.343826,1000,0.273801,0.342207,0.191587,0.192406,9.930708,1.000000,0.136450,0.056781,0.084078,0.350162
80,default,3.434745,1000,0.237127,0.245619,0.235655,0.281599,4.005771,1.000000,0.090421,0.187814,0.086711,0.236083
81,default,1.024110,1000,0.272374,0.280685,0.217138,0.229803,14.863820,1.000000,0.119149,0.082837,0.109752,0.322515
82,default,0.467784,1000,0.271138,0.187857,0.222318,0.318687,4.566761,1.000000,0.084695,0.039474,0.126716,0.341075
83,default,0.605615,1000,0.290002,0.202719,0.230845,0.276434,7.870454,1.000000,0.071721,0.126148,0.138191,0.304704
84,default,0.885284,1000,0.327094,0.181124,0.178827,0.312954,14.866870,1.000000,0.137422,0.096996,0.122667,0.276927
85,default,0.165718,1000,0.348812,0.196241,0.223104,0.231842,6.547931,1.000000,0.134491,0.137413,0.074956,0.212466
86,default,0.135004,1000,0.349840,0.194167,0.218887,0.237106,8.332309,1.000000,0.076664,0.103316,0.068186,0.376698
87,default,0.418829,1000,0.290981,0.245928,0.214307,0.248785,10.030115,1.000000,0.028711,0.142526,0.118504,0.254353
88,default,0.845818,1000,0.396241,0.163035,0.271439,0.169285,3.172102,1.000000,0.042837,0.129377,0.058709,0.406812
89,default,1.650996,1000,0.261899,0.257722,0.230671,0.249708,8.528187,1.000000,0.059566,0.066221,0.128882,0.373686
90,default,0.678848,1000,0.278561,0.264812,0.257154,0.199473,12.031431,1.000000,0.066791,0.061234,0.138873,0.355123
91,default,0.539927,1000,0.246843,0.216237,0.267673,0.269247,1.962879,1.000000,0.027306,0.069857,0.175998,0.302881
92,default,0.153988,1000,0.353464,0.223899,0.197512,0.225125,2.893502,1.000000,0.067604,0.044706,0.097166,0.268900
93,default,0.950240,1000,0.281153,0.199546,0.277455,0.241846,5.323837,1.000000,0.133758,0.097843,0.121433,0.302295
94,default,0.889624,1000,0.256941,0.249040,0.285108,0.208911,5.022884,1.000000,0.063727,0.056863,0.257915,0.311304
95,default,0.062075,1000,0.327168,0.224446,0.179839,0.268546,8.917065,1.000000,0.182711,0.105755,0.049696,0.275988
96,default,1.279229,1000,0.278357,0.183092,0.285854,0.252698,11.517584,1.000000,0.065174,0.126355,0.127433,0.342857
97,default,0.617666,1000,0.289882,0.288428,0.183313,0.238376,9.078391,1.000000,0.068883,0.209359,0.122430,0.252358
98,default,2.096229,1000,0.297813,0.257801,0.194899,0.249487,2.050172,1.000000,0.108724,0.081139,0.180736,0.192399
99,default,0.078157,1000,0.361814,0.191105,0.255844,0.191237,5.016811,1.000000,0.099925,0.085983,0.083986,0.188693
100,default,0.619870,1000,0.355984,0.216716,0.189269,0.238031,9.967952,1.000000,0.110425,0.054310,0.128045,0.313357
101,default,0.287162,1000,0.321531,0.221400,0.217920,0.239150,12.512923,1.000000,0.088645,0.065196,0.072697,0.358645
102,default,0.642611,1000,0.278336,0.143507,0.326939,0.251218,3.331134,1.000000,0.054332,0.069198,0.123409,0.347782
103,default,0.059837,1000,0.241937,0.195178,0.286871,0.276014,9.726430,1.000000,0.075395,0.082366,0.125626,0.336929
104,default,1.057612,1000,0.267674,0.246283,0.276868,0.209176,6.885915,1.000000,0.135115,0.194429,0.106096,0.184439
105,default,2.487406,1000,0.235260,0.226306,0.216458,0.321976,3.623398,1.000000,0.040966,0.130878,0.087216,0.343667
106,default,1.457549,1000,0.318795,0.177500,0.228139,0.275565,12.793399,1.000000,0.105506,0.080012,0.122459,0.391440
107,default,0.175680,1000,0.229680,0.231311,0.285149,0.253860,7.922971,1.000000,0.098397,0.075144,0.123863,0.287051
108,default,0.202643,1000,0.272239,0.199470,0.261488,0.266803,10.360277,1.000000,0.071212,0.134151,0.214095,0.298182
109,default,0.444239,1000,0.294985,0.213198,0.233083,0.258733,12.815630,1.000000,0.038957,0.056149,0.120762,0.342450
110,default,0.169213,1000,0.383617,0.201316,0.169438,0.245629,3.311548,1.000000,0.137814,0.079551,0.160052,0.161975
111,default,1.521898,1000,0.245494,0.230122,0.238040,0.286343,5.353533,1.000000,0.088987,0.260809,0.106619,0.230048
112,default,1.978251,1000,0.311671,0.192729,0.178921,0.316678,6.590400,1.000000,0.144110,0.137141,0.143644,0.200732
113,default,1.265037,1000,0.349721,0.186945,0.212609,0.250726,3.281131,1.000000,0.153197,0.087724,0.140616,0.365336
114,default,1.790288,1000,0.290799,0.280515,0.179221,0.249464,3.567615,1.000000,0.083980,0.101086,0.150730,0.294212
115,default,0.914216,1000,0.305997,0.211911,0.243505,0.238587,2.226920,1.000000,0.113286,0.093860,0.179779,0.292177
116,default,0.752311,1000,0.275937,0.234257,0.258531,0.231275,7.853570,1.000000,0.118148,0.072307,0.154959,0.281718
117,default,0.551766,1000,0.310422,0.243652,0.184224,0.261702,10.646021,1.000000,0.096213,0.119262,0.042702,0.353443
118,default,1.385988,1000,0.277839,0.216280,0.210751,0.295130,4.435093,1.000000,0.053806,0.069883,0.167054,0.313635
119,default,0.209858,1000,0.292193,0.221664,0.242714,0.243429,9.154788,1.000000,0.093574,0.102491,0.077114,0.362280
120,default,0.395811,1000,0.299619,0.261245,0.180256,0.258880,3.052620,1.000000,0.059414,0.067230,0.030941,0.377751
121,default,0.252445,1000,0.327516,0.170526,0.257409,0.244550,2.034535,1.000000,0.057728,0.135836,0.102940,0.340201
122,default,0.228080,1000,0.259036,0.175772,0.263082,0.302109,12.337450,1.000000,0.083207,0.123310,0.088067,0.261271
123,default,0.247733,1000,0.264023,0.200722,0.259847,0.275408,2.359349,1.000000,0.144909,0.081008,0.164746,0.226100
124,default,0.372008,1000,0.284561,0.268676,0.252900,0.193862,23.454928,1.000000,0.150937,0.077128,0.098567,0.208205
125,default,0.698847,1000,0.350155,0.161266,0.270238,0.218341,3.379197,1.000000,0.102070,0.100623,0.212187,0.243874
126,default,0.022303,1000,0.336941,0.234583,0.218545,0.209931,1.695552,1.000000,0.094615,0.097730,0.172987,0.320020
127,default,0.038367,1000,0.288735,0.255829,0.229524,0.225912,10.858731,1.000000,0.079377,0.121011,0.081773,0.357577
128,default,1.058227,1000,0.319783,0.249625,0.229483,0.201109,5.743233,1.000000,0.077726,0.055639,0.181016,0.310926
129,default,1.482430,1000,0.265121,0.197667,0.240619,0.296593,12.401546,1.000000,0.044259,0.164252,0.135054,0.329933
130,default,1.125420,1000,0.294477,0.217255,0.197151,0.291117,3.960466,1.000000,0.058535,0.088777,0.128638,0.303793
131,default,0.462508,1000,0.370365,0.196246,0.186590,0.246800,5.599442,1.000000,0.077009,0.077758,0.213330,0.325775
132,default,0.399810,1000,0.252802,0.243473,0.191226,0.312500,4.770895,1.000000,0.078770,0.053970,0.118286,0.361961
133,default,0.977743,1000,0.341909,0.144394,0.247566,0.266131,5.238336,1.000000,0.156282,0.162231,0.096335,0.188632
134,default,0.349092,1000,0.269744,0.262180,0.205568,0.262508,5.900190,1.000000,0.110457,0.088991,0.108407,0.274691
135,default,0.664301,1000,0.318450,0.213505,0.248296,0.219749,4.821619,1.000000,0.097406,0.107805,0.156921,0.293922
136,default,1.048435,1000,0.299460,0.156150,0.222869,0.321521,4.878286,1.000000,0.085845,0.152654,0.071498,0.264032
137,default,0.396884,1000,0.304362,0.183809,0.247334,0.264494,10.708036,1.000000,0.063156,0.065815,0.076771,0.260891
138,default,3.667404,1000,0.317459,0.251652,0.233798,0.197090,3.818831,1.000000,0.140636,0.079019,0.090386,0.265264
139,default,0.119300,1000,0.302126,0.202971,0.274980,0.219923,7.610671,1.000000,0.217684,0.119623,0.115326,0.219887
140,default,0.631522,1000,0.292266,0.207690,0.248917,0.251127,3.698681,1.000000,0.121908,0.090014,0.072285,0.434564
141,default,1.126047,1000,0.296295,0.173639,0.229827,0.300239,7.912460,1.000000,0.093183,0.101981,0.070138,0.333782
142,default,1.731838,1000,0.296960,0.244079,0.179780,0.279181,5.882061,1.000000,0.061985,0.103259,0.140065,0.306908
143,default,1.847462,1000,0.338765,0.210106,0.163885,0.287245,6.210080,1.000000,0.044326,0.055788,0.115844,0.354510
144,default,1.131329,1000,0.260957,0.210064,0.227229,0.301751,13.462464,1.000000,0.093177,0.133691,0.165851,0.287027
145,default,1.046776,1000,0.265698,0.259662,0.221775,0.252865,20.320986,1.000000,0.116879,0.116529,0.093762,0.410442
146,default,1.314136,1000,0.270874,0.257306,0.211914,0.259906,6.352927,1.000000,0.068355,0.112245,0.108611,0.300212
147,default,0.914326,1000,0.234106,0.173803,0.250118,0.341973,10.510249,1.000000,0.074211,0.145929,0.133092,0.233777
148,default,0.034467,1000,0.258612,0.234690,0.224461,0.282236,7.118498,1.000000,0.124036,0.148890,0.106527,0.224920
149,default,1.181559,1000,0.323113,0.150278,0.228779,0.297830,8.623509,1.000000,0.064761,0.085721,0.062375,0.302852
150,default,0.151061,1000,0.282667,0.215260,0.164945,0.337128,5.834045,1.000000,0.027360,0.077002,0.117421,0.257243
151,default,0.703055,1000,0.295795,0.210029,0.225490,0.268686,24.428830,1.000000,0.080747,0.185347,0.099220,0.294509
152,default,0.147512,1000,0.308347,0.166929,0.252206,0.272518,3.892178,1.000000,0.151267,0.097063,0.195225,0.332526
153,default,0.152558,1000,0.317718,0.215257,0.180001,0.287024,1.544375,1.000000,0.050995,0.086873,0.115501,0.245228
154,default,0.618894,1000,0.272837,0.224530,0.218433,0.284200,21.232160,1.000000,0.057600,0.079072,0.150544,0.217031
155,default,2.320256,1000,0.253363,0.262482,0.203168,0.280987,14.238957,1.000000,0.091118,0.081279,0.138157,0.325628
156,default,0.411671,1000,0.239336,0.329850,0.184250,0.246564,16.187380,1.000000,0.066487,0.028891,0.127171,0.332300
157,default,0.377380,1000,0.302681,0.207429,0.251083,0.238808,2.341956,1.000000,0.130798,0.173951,0.115082,0.221466
158,default,0.358156,1000,0.287352,0.220990,0.198061,0.293597,18.146049,1.000000,0.135405,0.090309,0.179835,0.357742
159,default,0.074716,1000,0.271835,0.262299,0.238260,0.227607,9.122539,1.000000,0.101443,0.094606,0.078109,0.207820
160,default,0.081477,1000,0.323546,0.242418,0.189829,0.244207,4.779476,1.000000,0.064865,0.086840,0.064810,0.349609
161,default,1.824391,1000,0.306663,0.229012,0.229547,0.234778,8.908083,1.000000,0.057953,0.190448,0.153133,0.296255
162,default,0.041792,1000,0.357016,0.300050,0.136849,0.206085,6.541429,1.000000,0.102992,0.084581,0.146897,0.222628
163,default,1.537355,1000,0.340530,0.220702,0.223333,0.215435,11.733144,1.000000,0.114316,0.088539,0.119893,0.317545
164,default,0.246461,1000,0.364610,0.123373,0.263573,0.248444,10.755315,1.000000,0.041476,0.119154,0.185272,0.322337
165,default,0.411608,1000,0.372385,0.131662,0.245193,0.250759,6.935539,1.000000,0.158611,0.159164,0.055033,0.207358
166,default,0.092093,1000,0.291172,0.250753,0.196749,0.261325,3.584562,1.000000,0.073591,0.117907,0.146566,0.384660
167,default,0.109939,1000,0.308161,0.230539,0.300785,0.160516,2.482429,1.000000,0.192321,0.034162,0.105210,0.247591
168,default,0.323736,1000,0.333348,0.204434,0.198091,0.264127,2.909382,1.000000,0.161028,0.115022,0.095089,0.345903
169,default,0.010542,1000,0.242699,0.292352,0.217054,0.247895,3.546126,1.000000,0.096406,0.030614,0.092868,0.339919
170,default,0.398039,1000,0.310071,0.178329,0.243129,0.268471,6.520686,1.000000,0.106199,0.161144,0.182900,0.297607
171,default,2.035869,1000,0.368584,0.152045,0.170214,0.309157,5.543917,1.000000,0.036278,0.096525,0.112798,0.357233
172,default,0.865982,1000,0.243889,0.223745,0.218492,0.313873,8.734199,1.000000,0.023931,0.139774,0.098051,0.322297
173,default,0.209660,1000,0.364465,0.177804,0.234003,0.223728,5.688500,1.000000,0.126068,0.055734,0.064544,0.250132
174,default,0.887415,1000,0.257467,0.226942,0.272165,0.243425,13.020868,1.000000,0.056187,0.092387,0.179399,0.201669
175,default,0.509717,1000,0.315770,0.202918,0.244452,0.236861,13.977261,1.000000,0.054829,0.106043,0.100067,0.273367
176,default,0.309684,1000,0.243441,0.230122,0.270748,0.255689,4.889119,1.000000,0.104246,0.030022,0.151956,0.188628
177,default,0.027293,1000,0.285354,0.218762,0.240356,0.255528,9.043430,1.000000,0.132392,0.143078,0.138471,0.186896
178,default,1.647044,1000,0.317499,0.150878,0.206741,0.324881,7.858928,1.000000,0.200529,0.105212,0.124260,0.279668
179,default,0.177409,1000,0.298868,0.209032,0.263409,0.228691,12.169985,1.000000,0.072562,0.114724,0.163453,0.288779
180,default,0.023305,1000,0.309499,0.194344,0.228245,0.267911,6.066335,1.000000,0.087265,0.092416,0.098622,0.246994
181,default,2.060107,1000,0.334662,0.144320,0.255322,0.265697,8.187606,1.000000,0.062268,0.086417,0.136712,0.321282
182,default,0.157929,1000,0.286292,0.239784,0.208249,0.265675,3.178014,1.000000,0.066751,0.099749,0.140608,0.386758
183,default,1.189533,1000,0.308092,0.210557,0.174602,0.306749,3.088137,1.000000,0.083639,0.113739,0.105568,0.174638
184,default,2.090558,1000,0.297106,0.202366,0.258470,0.242057,7.159312,1.000000,0.091122,0.096409,0.082496,0.314440
185,default,0.166070,1000,0.304777,0.180004,0.231337,0.283882,5.967834,1.000000,0.102595,0.168194,0.140201,0.344377
186,default,0.039870,1000,0.245020,0.255705,0.252741,0.246534,2.736589,1.000000,0.085418,0.217095,0.062184,0.375868
187,default,0.417382,1000,0.294007,0.205645,0.230643,0.269705,5.257551,1.000000,0.119591,0.073335,0.171052,0.399665
188,default,0.647894,1000,0.250178,0.263647,0.193140,0.293034,6.794661,1.000000,0.153890,0.090611,0.131362,0.346015
189,default,0.061885,1000,0.356591,0.191602,0.215792,0.236014,3.503392,1.000000,0.112543,0.158036,0.065546,0.380460
190,default,0.704051,1000,0.341800,0.230880,0.174697,0.252622,5.601704,1.000000,0.103017,0.106429,0.103525,0.349008
191,default,0.464902,1000,0.253452,0.227482,0.211588,0.307478,4.194076,1.000000,0.135251,0.080560,0.121780,0.252029
192,default,0.790931,1000,0.329417,0.167918,0.224838,0.277828,14.827315,1.000000,0.050570,0.063373,0.139387,0.218605
193,default,0.059372,1000,0.374792,0.151828,0.228534,0.244846,5.455314,1.000000,0.037351,0.104914,0.274726,0.236508
194,default,1.317297,1000,0.308659,0.174561,0.259220,0.257559,3.898790,1.000000,0.056299,0.158152,0.153189,0.405038
195,default,2.016730,1000,0.242112,0.244889,0.217074,0.295925,7.090668,1.000000,0.039411,0.160121,0.114030,0.318594
196,default,0.360983,1000,0.214545,0.296527,0.190710,0.298218,11.008003,1.000000,0.098490,0.102942,0.059841,0.403587
197,default,0.504390,1000,0.334653,0.190115,0.234148,0.241083,5.585682,1.000000,0.160361,0.120836,0.124824,0.336336
198,default,0.923539,1000,0.270433,0.245892,0.222337,0.261339,1.830357,1.000000,0.097990,0.054710,0.075358,0.336280
199,default,0.868415,1000,0.261990,0.145698,0.308337,0.283975,7.660117,1.000000,0.206303,0.069794,0.044470,0.319563
200,default,0.571479,1000,0.331402,0.211328,0.212433,0.244837,7.079401,1.000000,0.047817,0.059470,0.160700,0.302953
201,default,0.497163,1000,0.287298,0.179491,0.167052,0.366159,3.972685,1.000000,0.086273,0.105319,0.288501,0.259171
202,default,0.552060,1000,0.341267,0.187087,0.174697,0.296948,7.730120,1.000000,0.100545,0.070607,0.119888,0.321393
203,default,1.560845,1000,0.314868,0.247049,0.245600,0.192483,3.915226,1.000000,0.123971,0.081574,0.078669,0.370032
204,default,0.243449,1000,0.243508,0.277197,0.194797,0.284498,2.954575,1.000000,0.093664,0.061538,0.174528,0.296957
205,default,0.407705,1000,0.315154,0.240067,0.172632,0.272147,1.791568,1.000000,0.072882,0.063436,0.111318,0.387867
206,default,0.351037,1000,0.278749,0.239004,0.186501,0.295746,6.344975,1.000000,0.177322,0.047359,0.101116,0.301680
207,default,3.546494,1000,0.294122,0.247039,0.235484,0.223354,5.957565,1.000000,0.073016,0.086841,0.126164,0.383426
208,default,0.271552,1000,0.254475,0.240041,0.219779,0.285705,24.998057,1.000000,0.144221,0.117393,0.091727,0.247033
209,default,2.987936,1000,0.265035,0.284006,0.134084,0.316874,1.199219,1.000000,0.091749,0.086564,0.170589,0.298153
210,default,0.164171,1000,0.232860,0.227857,0.237545,0.301738,5.607735,1.000000,0.071274,0.095795,0.118858,0.344665
211,default,3.386241,1000,0.318753,0.215451,0.226463,0.239333,14.615669,1.000000,0.059874,0.113175,0.142645,0.351438
212,default,0.703113,1000,0.300934,0.204286,0.232743,0.262038,12.275590,1.000000,0.092411,0.133419,0.147530,0.308195
213,default,0.426315,1000,0.298228,0.231844,0.221399,0.248529,9.283005,1.000000,0.056069,0.140782,0.051154,0.275227
214,default,1.037877,1000,0.280330,0.210772,0.262296,0.246603,7.137970,1.000000,0.104721,0.120393,0.088705,0.249250
215,default,0.649508,1000,0.287692,0.222131,0.171367,0.318810,13.119020,1.000000,0.158663,0.089195,0.121133,0.315244
216,default,1.384791,1000,0.329226,0.216412,0.229351,0.225010,3.945872,1.000000,0.058662,0.143048,0.107197,0.408057
217,default,0.852376,1000,0.275083,0.201082,0.239905,0.283930,1.490954,1.000000,0.154557,0.099503,0.120314,0.293712
218,default,0.587507,1000,0.304035,0.172480,0.203040,0.320445,11.648657,1.000000,0.196096,0.059376,0.066487,0.285726
219,default,0.337372,1000,0.280309,0.225475,0.229322,0.264894,7.985807,1.000000,0.076550,0.120067,0.211868,0.187077
220,default,2.020145,1000,0.349266,0.201777,0.227874,0.221083,4.328389,1.000000,0.071120,0.051982,0.207103,0.303652
221,default,1.891358,1000,0.278101,0.167920,0.319438,0.234540,10.190108,1.000000,0.147927,0.085941,0.045753,0.374962
222,default,0.318598,1000,0.235965,0.247896,0.173158,0.342980,21.838905,1.000000,0.124748,0.055125,0.171155,0.357015
223,default,0.920609,1000,0.289893,0.218979,0.243669,0.247459,5.096539,1.000000,0.128113,0.106044,0.115892,0.297664
