,Taxon,Branch Type,l1,l2,l1/l2,Gene trees
36,DIP,terminal,0.08772,0.09612814,0.91253196,TreeShrink
37,  ,internal,0.010335,0.00974568,1.06046987,TreeShrink
38,CAV,terminal,0.103001,0.10816848,0.952227488,TreeShrink
39,  ,internal,0.005572,0.00254307,2.191052547,TreeShrink
40,SPE,terminal,0.063782,0.06820815,0.935108195,TreeShrink
41,  ,internal,0.011929,0.01012955,1.177643627,TreeShrink
42,ORY,terminal,0.039356,0.04845859,0.812157349,TreeShrink
43,OCH,terminal,0.075361,0.08605595,0.87572097,TreeShrink
44,  ,internal,0.041581,0.04350731,0.955724452,TreeShrink
45,  ,internal,0.007251,0.0047459,1.527845087,TreeShrink
46,TUP,terminal,0.085074,0.08640017,0.98465084,TreeShrink
47,  ,internal,0.001074,0.00148426,0.723592902,TreeShrink
48,MIC,terminal,0.034892,0.03898207,0.895078173,TreeShrink
49,OTO,terminal,0.055663,0.05969255,0.932494926,TreeShrink
50,  ,internal,0.009935,0.01540633,0.644864806,TreeShrink
51,TAR,terminal,0.059482,0.06292389,0.945300743,TreeShrink
52,CAL,terminal,0.028222,0.02929944,0.963226601,TreeShrink
53,NEW,terminal,0.021501,0.02165305,0.992977895,TreeShrink
54,PON,terminal,0.006867,0.00825364,0.831996549,TreeShrink
55,GOR,terminal,0.002292,0.00382963,0.598491238,TreeShrink
56,HOM,terminal,0.002313,0.00301217,0.767884947,TreeShrink
57,PAN,terminal,0.00198,0.00280952,0.704746718,TreeShrink
58,  ,internal,0.001018,0.00075566,1.347166715,TreeShrink
59,  ,internal,0.003542,0.00329015,1.076546662,TreeShrink
60,  ,internal,0.005052,0.00464927,1.086622201,TreeShrink
61,  ,internal,0.00375,0.00712689,0.526176214,TreeShrink
62,  ,internal,0.007704,0.02455141,0.313790532,TreeShrink
63,  ,internal,0.001688,0.00395332,0.42698289,TreeShrink
64,  ,internal,0.007846,0.00675353,1.161762811,TreeShrink
65,  ,internal,0.00924,0.00865282,1.067859958,TreeShrink
66,  ,internal,0.010156,0.00777219,1.306710207,TreeShrink
67,  ,internal,0.109124,0.11440881,0.953807666,TreeShrink
68,ORN,terminal,0.280845,0.277074,1.013610083,TreeShrink
